Year DOY  Hr Min  Btot   Bx       By     Bz      V       n
2017 247  8 20    4.64   -0.05    4.53    0.79   469.6   3.69
2017 247  8 25    4.58   -0.47    4.53    0.04   469.0   3.83
2017 247  8 30    4.47    0.20    4.02   -1.50   469.1   3.87
2017 247  8 35    4.16    0.52    3.96   -1.00   470.8   3.64
2017 247  8 40    4.12    0.34    3.95   -1.09   470.1   3.91
2017 247  8 45    3.75    0.48    3.11   -1.17   469.5   3.94
2017 247  8 50    3.84   -0.18   -2.91    2.46   467.0   4.46
2017 247  8 55    4.03    0.36   -3.09    2.41   468.4   4.46
2017 247  9  0    4.12    0.70   -2.52    3.08   468.5   4.60
2017 247  9  5    3.84    0.99    0.05    3.34   468.3   4.56
2017 247  9 10    3.68    1.55    1.05    3.01   471.0   4.99
